content,score,sentimen,content_clean
baguss. bermanfaat,3,0,baguss bermanfaat
Gak bisa daftar. Coba daftar pake facebook juga gagal terus,2,0,gak daftar coba daftar pake facebook gagal
Menurut saya ini sangat tidak akurat,3,0,akurat
bagus terbaik buat menganalisis kulit,3,0,bagus terbaik menganalisis kulit
Bagus,3,0,bagus
good,3,0,good
Hmmmmm tdk yakin,3,0,hmmmmm tdk
Very very bad  👎👎👎,1,0,very very bad
masih baru coba,3,0,coba
Bagus dung,3,0,bagus dung
Saya ko ga bisa terhubung ke aplikasiny kan disuru masukan melalui faebook tapi ga bisa masuk pdhal saya sudah masukan emai pasword saya . Tolong bantuanny ya admin,1,0,ko ga terhubung aplikasiny disuru masukan faebook ga masuk pdhal masukan emai pasword bantuanny admin
Lumayan lah,3,0,lumayan
"Gimana sih ini pas mau analisa selalu aja server error, nyesel download!",1,0,gimana sih pas analisa aja server error nyesel download
"Dear: troveskin Gimana cara nya hapus foto kita yg sudah d'analisa,  tolong d'jawab Terima kasih",2,0,dear troveskin gimana nya hapus foto yg d analisa d terima kasih
Cukup membantu,3,0,membantu
Kenapa ya akun saya yang dlu tidak bisa reedem point? Apa reedem point itu fitur yang masih baru?,3,0,akun dlu reedem point reedem point fitur
"Gak bagus,masak untuk recommend produk nya gak ada cuman sedikit, aplikasi nya gak bagus,bohong,kalau di iklan bagus kali,penipu",1,0,gak bagus masak recommend produk nya gak cuman aplikasi nya gak bagus bohong iklan bagus kali penipu
"Perasaan dulu gratis deh knp skrg jadi berbayar, so sad. Buat kalian yg pengen cek kondisi kulit/produk mending pake apk Allure Al gratis",1,0,perasaan gratis deh knp skrg berbayar so sad yg pengen cek kondisi kulit produk mending pake apk allure al gratis
"Dasar! Udah ngabisin kuota buat download, susah-susah foto muka, malah pas login keluar tulisan 'terjadi error yang tidak diketahui'.",1,0,dasar udah ngabisin kuota download susah susah foto muka pas login tulisan error
Semangat ngejar pointttss,3,0,semangat ngejar pointttss
"Saya kasih segitu dulu, soalnya saya sudah coba unggah foto belum bisa di unggah. Kira - kira kenapa ya? Tolong di bantu",3,0,kasih segitu coba unggah foto unggah bantu
analisa kulit bener cuma untuk produk yg disarankan sayangnya banyak produk tidak cocok dikulit saya karena sudah pernah coba dan hasilnya malah makin memburuk,3,0,analisa kulit bener produk yg disarankan sayangnya produk cocok dikulit coba hasilnya memburuk
kenapa ya setiap mau selfi tiba-tiba aplikasi keluar dengan sendirinya dan kadang2 macet tolong bantuannya,2,0,selfi aplikasi kadang macet bantuannya
G bisa login,1,0,g login
Gak bisa log in apaan,1,0,gak log in
"Masih agak ragu sih ... Produk yg di sarankan sesuai atau tidak, jd coba 
dulu ajah",3,0,ragu sih produk yg sarankan sesuai jd coba ajah
"Ga bisa daftar pake fb, kembali2 trs ga bisa masuk",1,0,ga daftar pake fb trs ga masuk
Wajib coba,3,0,wajib coba
bagus,1,0,bagus
Aplikasih aneh dan gk jelas,1,0,aplikasih aneh gk
Bagus,1,0,bagus
Kurang suka😒😕,1,0,suka
baru coba aplikasi ini jadi aku kasih bintang 2 aja dulu,2,0,coba aplikasi kasih bintang aja
aplikasi ini sangat bagus ..membantu banget buat aku yang pengen tahu masalah kulitku terus bukan hanya itu banyak banget tantangan2 yang seru yang bisa di ikutin di sini biar dapat poin dan skincare secara free recomended bgt dehh wajib didownload,3,0,aplikasi bagus membantu banget pengen kulitku banget tantangan seru ikutin biar poin skincare free recomended bgt dehh wajib didownload
